timestamp,act_lZygomaticusMajorLandmark,act_lDepressorAnguliOrisLandmark,act_lRisoriusLandmark,act_OrbicularisOrisCenter,act_rZygomaticusMajorLandmark,act_rDepressorAnguliOrisLandmark,act_rRisoriusLandmark,act_lFrontalisInsideLandmark,act_LCorrugatorSuperciliiLandmark,act_rFrontalisInsideLandmark,act_RCorrugatorSuperciliiLandmark,act_RLevatorLabiiSuperiorisLandmark,act_LLevatorLabiiSuperiorisLandmark,act_BridgeOfTheNose,act_LDepressorLabiiInferiorisLandmark,act_RDepressorLabiiInferiorisLandmark,act_lFrontalisOuterLandmark,act_rFrontalisOuterLandmark,act_LOrbicularisOculi,act_ROrbicularisOculi,str_lZygomaticusMajorLandmark,str_lDepressorAnguliOrisLandmark,str_lRisoriusLandmark,str_OrbicularisOrisCenter,str_rZygomaticusMajorLandmark,str_rDepressorAnguliOrisLandmark,str_rRisoriusLandmark,str_lFrontalisInsideLandmark,str_LCorrugatorSuperciliiLandmark,str_rFrontalisInsideLandmark,str_RCorrugatorSuperciliiLandmark,str_RLevatorLabiiSuperiorisLandmark,str_LLevatorLabiiSuperiorisLandmark,str_BridgeOfTheNose,str_LDepressorLabiiInferiorisLandmark,str_RDepressorLabiiInferiorisLandmark,str_lFrontalisOuterLandmark,str_rFrontalisOuterLandmark,str_LOrbicularisOculi,str_ROrbicularisOculi,str_JawSlide,iris_LEye_x,iris_LEye_y,iris_REye_x,iris_REye_y
0.7771,0.05225,0.00000,0.02611,0.00000,0.05189,0.00000,0.03733,0.01613,0.02736,0.01141,0.03226,0.05316,0.05778,0.04799,0.01151,0.02134,0.03163,0.02643,0.00000,0.00000,-0.05225,0.02245,-0.02611,0.01650,-0.05189,0.02237,-0.03733,-0.01613,-0.02736,-0.01141,-0.03226,-0.05316,-0.05778,-0.04799,-0.01151,-0.02134,-0.03163,-0.02643,0.06034,0.02333,0.01306,-0.02999,0.02216,-0.00343,0.02056
0.8154,0.05250,0.00000,0.02590,0.00000,0.05178,0.00000,0.03720,0.01613,0.02751,0.01161,0.03247,0.05324,0.05784,0.04807,0.01145,0.02138,0.03165,0.02699,0.00000,0.00000,-0.05250,0.02293,-0.02590,0.01597,-0.05178,0.02242,-0.03720,-0.01613,-0.02751,-0.01161,-0.03247,-0.05324,-0.05784,-0.04807,-0.01145,-0.02138,-0.03165,-0.02699,0.05979,0.02289,0.01290,-0.03036,0.02204,-0.00386,0.02052
0.8515,0.05259,0.00000,0.02594,0.00000,0.05171,0.00000,0.03751,0.01621,0.02758,0.01187,0.03256,0.05328,0.05789,0.04813,0.01267,0.02263,0.03171,0.02744,0.00000,0.00000,-0.05259,0.02255,-0.02594,0.01593,-0.05171,0.02199,-0.03751,-0.01621,-0.02758,-0.01187,-0.03256,-0.05328,-0.05789,-0.04813,-0.01267,-0.02263,-0.03171,-0.02744,0.05728,0.02050,0.01276,-0.03046,0.02120,-0.00462,0.02060
0.8911,0.05279,0.00000,0.02628,0.00000,0.05178,0.00000,0.03769,0.01608,0.02761,0.01187,0.03252,0.05349,0.05799,0.04825,0.01415,0.02404,0.03134,0.02755,0.00000,0.00000,-0.05279,0.02220,-0.02628,0.01629,-0.05178,0.02162,-0.03769,-0.01608,-0.02761,-0.01187,-0.03252,-0.05349,-0.05799,-0.04825,-0.01415,-0.02404,-0.03134,-0.02755,0.05623,0.01996,0.01265,-0.03066,0.02109,-0.00467,0.02054
0.9274,0.05472,0.00000,0.02840,0.00000,0.05256,0.00000,0.03808,0.01615,0.02799,0.01219,0.03276,0.05386,0.05816,0.04836,0.01801,0.02660,0.03205,0.02566,0.10956,0.17476,-0.05472,0.01866,-0.02840,0.01699,-0.05256,0.02063,-0.03808,-0.01615,-0.02799,-0.01219,-0.03276,-0.05386,-0.05816,-0.04836,-0.01801,-0.02660,-0.03205,-0.02566,-0.10956,-0.17476,0.01228,-0.02522,-0.05464,-0.00578,-0.04081
0.9656,0.05654,0.00000,0.03033,0.00000,0.05357,0.00000,0.03740,0.01633,0.02807,0.01234,0.03286,0.05409,0.05823,0.04842,0.01924,0.02729,0.03341,0.02414,0.22690,0.29830,-0.05654,0.01725,-0.03033,0.01738,-0.05357,0.02038,-0.03740,-0.01633,-0.02807,-0.01234,-0.03286,-0.05409,-0.05823,-0.04842,-0.01924,-0.02729,-0.03341,-0.02414,-0.22690,-0.29830,0.01185,-0.01925,-0.10177,-0.00746,-0.08536
1.0031,0.06624,0.00000,0.03939,0.00000,0.06277,0.00000,0.04179,0.01829,0.02979,0.01467,0.03446,0.05473,0.05899,0.04988,0.02103,0.02844,0.03189,0.02763,0.93992,0.89772,-0.06624,0.01241,-0.03939,0.01134,-0.06277,0.01524,-0.04179,-0.01829,-0.02979,-0.01467,-0.03446,-0.05473,-0.05899,-0.04988,-0.02103,-0.02844,-0.03189,-0.02763,-0.93992,-0.89772,0.01084,0.02151,-2.06919,-0.05574,-3.81508
1.0422,0.06663,0.00000,0.04424,0.00000,0.06089,0.00000,0.04478,0.01926,0.03163,0.01599,0.03680,0.05505,0.05932,0.05050,0.02294,0.03116,0.02963,0.02859,0.94378,0.96642,-0.06663,0.00807,-0.04424,0.00908,-0.06089,0.00814,-0.04478,-0.01926,-0.03163,-0.01599,-0.03680,-0.05505,-0.05932,-0.05050,-0.02294,-0.03116,-0.02963,-0.02859,-0.94378,-0.96642,0.01035,0.03313,-32.62944,-0.07004,4.78124
1.0784,0.06261,0.00000,0.04885,0.00000,0.05813,0.00000,0.04532,0.01946,0.03452,0.01725,0.04004,0.05536,0.05950,0.05120,0.02558,0.03375,0.02791,0.02698,0.90270,0.93605,-0.06261,0.00163,-0.04885,0.00490,-0.05813,0.00114,-0.04532,-0.01946,-0.03452,-0.01725,-0.04004,-0.05536,-0.05950,-0.05120,-0.02558,-0.03375,-0.02791,-0.02698,-0.90270,-0.93605,0.00988,0.03946,3.88813,-0.07683,2.06238
1.1177,0.06292,0.00000,0.04956,0.00000,0.05703,0.00107,0.04582,0.01931,0.03609,0.01742,0.04259,0.05542,0.05937,0.05145,0.02589,0.03417,0.02645,0.02451,0.90362,0.93534,-0.06292,0.00101,-0.04956,0.00355,-0.05703,-0.00107,-0.04582,-0.01931,-0.03609,-0.01742,-0.04259,-0.05542,-0.05937,-0.05145,-0.02589,-0.03417,-0.02645,-0.02451,-0.90362,-0.93534,0.00978,0.04498,3.65102,-0.07950,2.00992
